dataset,label
"[0.5603287558063988, 0.5941225026712649, 0.5902530853248433, 0.6062798933152712, 0.5907258700928883, 0.5973117106836726, 0.5944347086299379, 0.598843085845933, 0.5989024128308964, 0.623349270134033, 0.6150629818373442, 0.5733554224308659, 0.57385529399035, 0.6268288580208559, 0.5840644395974588, 0.5920406210453728, 0.5048132712027852, 0.4004349339825002, 0.2767852295934172, 0.17720679972629988, 0.047849339069301056, 0.006254435076529414, -0.15005066277984075, -0.2447020512894606, -0.3411272247084969, -0.5078212879227564, -0.5355181195317689, -0.6757769413760782, -0.7773863114965767, -0.8268286905709012, -0.853998661205488, -0.8734255339285286, -0.8431849455830189, -0.8690261589124588, -0.8597636912187332, -0.8729921525084399, -0.8398304074799381, -0.8493963962134813, -0.8569542498347453, -0.8612400620051751, -0.8417339332445936, -0.8823443831493593, -0.8556443594610215, -0.8187307149412353, -0.8817183321095062, -0.8357039794502453, -0.8588060160503281, -0.8874764746446213, -0.8657731585196411, -0.8567604583571808, -0.8690443625633822]",0
"[0.7950560137121316, 0.804155771193647, 0.7609345118009467, 0.7968906485741934, 0.8113414968783189, 0.7920483947712644, 0.7900373709916182, 0.8265654285181898, 0.7830823512894812, 0.8006330580710439, 0.7947565054329837, 0.8044936079294766, 0.8018005239435562, 0.7763418369697049, 0.8297717583854834, 0.808364129886231, 0.8084286126508993, 0.7891514125969448, 0.8227872219533888, 0.7120084090238068, 0.6415952730495441, 0.5513001045313061, 0.4923198389819627, 0.45219861792757, 0.3207289582139081, 0.2645474944983249, 0.19436511346258634, 0.11722629654128361, -0.014470587708786307, -0.013253255621809054, -0.14456619443102112, -0.22557824119412295, -0.27257167756098505, -0.3363208250742374, -0.44462296155658537, -0.4938595137042129, -0.4485100795452794, -0.47756482972388153, -0.5229854577995285, -0.4791067511934253, -0.49391429133566755, -0.47909476248857474, -0.4735590562855679, -0.4688185267804253, -0.4658822101960855, -0.47178645705226746, -0.4804963951237198, -0.48412547039283427, -0.4888759887975089, -0.49860204172638717, -0.5027202824161332]",0
"[0.16657756485570951, 0.13160606623722249, 0.2016340454646855, 0.1787848706238937, 0.15883121896783897, 0.15620177443135222, 0.16324782394909165, 0.1321012973779242, 0.13247722206810922, 0.15455634793658415, 0.15655630547751428, 0.1555961807471808, 0.14397199470378436, 0.16725570881493906, 0.13747113818627144, 0.1780934098591553, 0.14991503800582678, 0.11619208944696079, 0.12704572160576555, 0.1279981711867843, 0.1631686185353482, 0.14614224451278937, 0.0666950215711291, 0.061506468475128806, -0.005387481871509876, -0.04947955380368757, -0.1630044569448136, -0.14739879712490417, -0.20094877496405783, -0.25129942680097234, -0.2665669814715221, -0.22622291162519212, -0.2576704285882642, -0.2772887542206048, -0.28751152436458655, -0.26630748566048823, -0.3064506226804767, -0.29293124984567015, -0.32273341659603555, -0.275450544593013, -0.29319856762809576, -0.285222732891749, -0.2693115939285155, -0.3017333556847875, -0.28345159635839245, -0.2913399816529864, -0.31234620490602694, -0.26036136162361123, -0.2683733280452574, -0.2996991673649643, -0.2465180925534522]",0
"[0.6606484828886736, 0.6945883568024296, 0.6918583950878772, 0.6934237556834459, 0.6870074555219576, 0.6937484963019069, 0.7069708469485229, 0.6778958159865905, 0.6837376254238985, 0.6958108922753783, 0.6701845475543871, 0.6623833826347272, 0.6808907123485415, 0.7087535980138111, 0.6633728741497599, 0.6538864105282587, 0.6868124930695781, 0.6961966317009542, 0.6411242358504149, 0.5951757250347046, 0.5650699341236788, 0.5383050267606094, 0.5069866094513767, 0.46486513644865446, 0.44590770079676684, 0.4283597304019438, 0.3945762109084374, 0.33409141422076494, 0.2830986478886416, 0.24767582804715746, 0.23281847374557207, 0.20557169549748117, 0.12426328546838432, 0.07571693985125322, 0.06974642017484492, 0.0447351679840366, -0.03145861613169869, -0.0017895764975259282, 0.0025273419158850573, -0.010920229428419597, -0.028388355714840496, -0.0033444847544143084, -0.007629454477842053, -0.008982386473582175, 0.04060745179461166, 0.005322208594945569, -0.002834599127738706, 0.011763686805346238, -0.0011859831281788597, 0.017653005369794417, -0.022220191051427585]",0
"[0.40060996864545856, 0.3959347391611352, 0.349861806931112, 0.3692814492575594, 0.37599097372061985, 0.37478766668461766, 0.3766487459122916, 0.3738829621262629, 0.4021890311722392, 0.355839756946187, 0.39005591843245524, 0.4110486039361899, 0.4146968216229173, 0.374376753965724, 0.4139001776514192, 0.4084110695110261, 0.39856930096584303, 0.36940548522210526, 0.42217904670355166, 0.3894115431945516, 0.4313405961931903, 0.40728454428384386, 0.37812811006671077, 0.39445705848447715, 0.29865685387726615, 0.181173140766323, 0.04464257428736515, -0.0419444922891387, -0.14676979413545305, -0.27188889108950176, -0.3659394317461326, -0.5128077803873998, -0.5480200972896664, -0.6918459976055858, -0.8006151564791665, -0.8714399487200261, -0.9035649423969819, -0.9205577397706176, -0.8682518338679198, -0.906975642234211, -0.9033719882302464, -0.8991605656398289, -0.912839553444663, -0.8963968246005338, -0.8934834538168163, -0.930286825833692, -0.9135478261460444, -0.8948883227202481, -0.8911484971824427, -0.9025791809072858, -0.9288008601576956]",0
"[0.29974300721106023, 0.2761516381497711, 0.30533906180531195, 0.2810268729507637, 0.27751864639103324, 0.28982186088694295, 0.2849496680379015, 0.2488643224298392, 0.3023690445795483, 0.28170635972731556, 0.2737783774455235, 0.28113231273100797, 0.28792077317036974, 0.3093511906092005, 0.2800717038821735, 0.2938405945263235, 0.25441425176004273, 0.24901973593055665, 0.2707789339980063, 0.24628209031003068, 0.20474402968214697, 0.19705589495683917, 0.16922024422486887, 0.1551817259459881, 0.13831367475070666, 0.0838458162138625, 0.10244820171595115, 0.05457514230543066, 0.020212432530712476, 0.03381676019837269, -0.04334340282372005, -0.002490387775008443, -0.04353771743359052, -0.05646067967213899, -0.08930312434700503, -0.12079250900267338, -0.16735713130563012, -0.16205796637386968, -0.1468750560534479, -0.18778836238202115, -0.16172176427331686, -0.1719998567956902, -0.1692915195859605, -0.13834390968228652, -0.16537689969049152, -0.17094519815763082, -0.13030601551459603, -0.1553964773354414, -0.19114415666498752, -0.16048090393161796, -0.16771776807393143]",0
"[0.5816664886546593, 0.5914133825270765, 0.614902996995364, 0.6055362217551592, 0.5538139226653144, 0.5862584888178238, 0.6178367732853112, 0.5838648750473387, 0.5863650352868962, 0.6013097485689998, 0.6109240640346636, 0.6026237079786685, 0.6010191830404225, 0.5955836662335615, 0.6103685463401797, 0.6007568858746822, 0.6264978786515504, 0.6013633083969756, 0.5018555138463491, 0.39580167735178534, 0.3207681882938772, 0.1869431924650064, 0.09951033453688538, -0.0028965343325001933, -0.04374320975767765, -0.20419694387210252, -0.2639259681833408, -0.3676060653828918, -0.46147183781872664, -0.553144689861459, -0.56845954746458, -0.4943626993681437, -0.5216567475878331, -0.5547882845687554, -0.5422405193877391, -0.5668279590698526, -0.5241955855389477, -0.49737443281069244, -0.5480547881668212, -0.5507146023330525, -0.5373102866432522, -0.536819110748738, -0.5469654119103374, -0.5561623169669615, -0.5422408436386233, -0.5190780222206679, -0.561035854366003, -0.5491699924126079, -0.5481093140178604, -0.5287142422555933, -0.5402521851737032]",0
"[0.22848764900652377, 0.23460899279536324, 0.23568409673124271, 0.21372767950734362, 0.2584688764367415, 0.24245995437132498, 0.2016646530443499, 0.22564450819980994, 0.22365110850097317, 0.20586224592433938, 0.2464018066885662, 0.21785453679738642, 0.26059253141132704, 0.2064050357419343, 0.15495638695185063, 0.07350530176476074, 0.01935829275436066, -0.054107569268005626, -0.11727609939259978, -0.10888093000887662, -0.19224918345654604, -0.22643924985912678, -0.28783152651058064, -0.3188622210992626, -0.3784749338003081, -0.3830909935831589, -0.486498583131282, -0.5270653468560892, -0.5560127717474861, -0.6333025117730592, -0.6616207398490771, -0.6690032039816036, -0.7569684422173527, -0.8300449928449721, -0.8092187696149499, -0.8240980986642154, -0.7944822907601645, -0.8167812110819794, -0.8149369438478092, -0.7880099358824934, -0.7943104834185734, -0.798658791263407, -0.790959521155917, -0.8314088254998129, -0.7747984952012996, -0.7934069766520736, -0.7976362672217148, -0.8202791064011962, -0.7997659135220725, -0.8134754844109598, -0.8063004713823383]",0
"[0.4049490268159058, 0.3814248225625039, 0.378662141475968, 0.40820355342003734, 0.38676868567493206, 0.39447176259946015, 0.39669981313098124, 0.38120040675559513, 0.4145055853403147, 0.3810581609802812, 0.3631885924851064, 0.40168651261357724, 0.37749098456148394, 0.35270969243781297, 0.40428276610532965, 0.38899466967306784, 0.38625101831613795, 0.3972432521411121, 0.39133798230435035, 0.34425244436124514, 0.25426310873991975, 0.2045691365369411, 0.13149881581169623, 0.07276967657079714, -0.0213100947128489, -0.040664248868837925, -0.10950351171918957, -0.21261135288168623, -0.2534358753520279, -0.3337778386242113, -0.4246061759551133, -0.4550428656094015, -0.5125468122100048, -0.5951664523308136, -0.6821942619543876, -0.6447537870706223, -0.6762190797649699, -0.6956429350712315, -0.6785522910232775, -0.6863297769973027, -0.6962065204420157, -0.6720247495984547, -0.6702249400977669, -0.6545844319479739, -0.7148602981128461, -0.6666785618668118, -0.6698178068518951, -0.6803429752897154, -0.7051626992044105, -0.6919351343680913, -0.6676180692215306]",0
"[0.7203181273664022, 0.7081072810347364, 0.714571788904951, 0.6695169261784956, 0.7232588328700615, 0.7171847700926794, 0.7032450583976273, 0.6863615190681644, 0.7102160583398045, 0.6871261585853989, 0.700764246509406, 0.7120187682063752, 0.7636657579054001, 0.6839724097519254, 0.7010988970942361, 0.7118312140397428, 0.7232282329527228, 0.6858118011985204, 0.7068981169802322, 0.6387458805751558, 0.6990222945485685, 0.7231944541192664, 0.7157030581112185, 0.7084758742495705, 0.600966110318428, 0.49604963799991303, 0.43611898397824567, 0.32625985069014557, 0.20682723342234482, 0.14960105639695045, 0.06118373155641961, -0.05443896682637808, -0.14743610190492495, -0.24036292882249272, -0.35515624896648473, -0.41945166921327415, -0.45558702566583903, -0.4631627235456886, -0.47612914627965924, -0.44409328851467783, -0.4361069472841468, -0.4425542814814766, -0.4432142656950078, -0.42490087697329776, -0.47621929397327895, -0.43044033015131716, -0.4245767661937109, -0.4294243234418852, -0.45249490340799764, -0.470783452623535, -0.4308534358958067]",0
"[0.3901216116239573, 0.37078934148895304, 0.3774408358295487, 0.38077082459571604, 0.3779472241439199, 0.35890123705153293, 0.36342088525213206, 0.3469221331027566, 0.36728313948038255, 0.3951711577102894, 0.3430749179852869, 0.35377640264178983, 0.35645099117987517, 0.318918306697808, 0.27457377079988093, 0.209455584013504, 0.14677732109660607, 0.11989675882392091, 0.08323441707285358, 0.034284765101806836, 0.010463559376098107, -0.0077702973170407155, -0.03793705273084411, -0.14853115966942873, -0.2111993509306151, -0.22781793935912148, -0.3045386143983794, -0.32454536106736037, -0.3888191389261099, -0.42547117197655865, -0.458729640910441, -0.5095789396068082, -0.5433275011954427, -0.5860185248576898, -0.6132712098979651, -0.5993100664237434, -0.647077580175278, -0.5751245925105444, -0.602529520609812, -0.5942756841838717, -0.5919388044416459, -0.6042439237493517, -0.625919103206513, -0.5957660563870153, -0.6058599358969546, -0.6040616080235424, -0.6259944685095368, -0.6004600644760274, -0.6208187425737256, -0.6034172872344882, -0.598620192228929]",0
"[0.32660452382394733, 0.31491940495054077, 0.2895150545676521, 0.31723306040627836, 0.3003792864482364, 0.35324055961242967, 0.32300791861214323, 0.3047841661752283, 0.3433443781328082, 0.3086644258403172, 0.3288282416986605, 0.35726830783148167, 0.32855310578811686, 0.32281866653754593, 0.355639832374213, 0.32958985786315625, 0.35408387125233753, 0.308945256450048, 0.33201364049460563, 0.34633854619716165, 0.3519241837269523, 0.3445393137103582, 0.28546260118217204, 0.2644414916673441, 0.2069050518655726, 0.20545335374230314, 0.2154746576079929, 0.13453646480474651, 0.1437830497918223, 0.07235031368605623, 0.08133559443118842, 0.023451150548700884, 0.03838482676569162, 0.002846706069065067, -0.021908515559823472, -0.051044760585734275, -0.039890223005380566, -0.03611744648003439, -0.035850307678693294, -0.05690861083492051, -0.06536510531695847, -0.022218406911897588, -0.005142148288535129, -0.051180936733165386, -0.03173897296760697, -0.04791244071858151, -0.010490930046239761, -0.007478671795833232, -0.030665110506010493, -0.05736878719399178, -0.03670405288642428]",0
"[0.42870311727393706, 0.4231460595306714, 0.38556512285065986, 0.4393231347348553, 0.40638982375750116, 0.41626776662064063, 0.4351628642920764, 0.4404937373640285, 0.4073134498051985, 0.43710185760556164, 0.3848110844074424, 0.4309883742748637, 0.4117836323580749, 0.38521066989145286, 0.4020379276955704, 0.42751101420045295, 0.4351369034345328, 0.4169439351770377, 0.3443910788224025, 0.22650599196566817, 0.16915264999571542, 0.04417159164032476, -0.06296045639734903, -0.1398824469280082, -0.22246716808040135, -0.31754715379120707, -0.4392654922462736, -0.549131778125924, -0.6424906222431618, -0.6423898209111565, -0.668833553149876, -0.6560029981802566, -0.6460804566519605, -0.6143088154656065, -0.6699266624834442, -0.6043438433272035, -0.6281519808546518, -0.6358739023020041, -0.6046216151704568, -0.6159145077449739, -0.6533789044690268, -0.6751693586798309, -0.6420476244082965, -0.648711859648104, -0.6359023810459747, -0.6225439336993522, -0.6291097759798486, -0.6312547264684113, -0.6301469567745466, -0.6398707102870083, -0.6390131401290157]",0
"[0.32103467079816, 0.3007706191670095, 0.3437050338854978, 0.31627571383547326, 0.261712153975461, 0.3315290917987109, 0.3275596076062384, 0.2994825017190827, 0.3110160865068091, 0.3200431071606637, 0.3313065230007166, 0.2533129758420136, 0.3362635573331971, 0.3209314727880284, 0.29197208037798406, 0.3278271232131349, 0.3287541963494608, 0.313797837499979, 0.374343157121772, 0.3093379899372796, 0.3389267278431885, 0.3094590684761993, 0.31322484469422507, 0.29663308080930206, 0.24838710863397848, 0.2304394557238081, 0.16724563110979612, 0.15700851394869617, 0.142492061232367, 0.0913087787703129, 0.06343510454244979, 0.04097364939610436, -0.009772462825479231, -0.011956805562158097, -0.07901161378210392, -0.08016356021902352, -0.10082487072613101, -0.15962329217712246, -0.1975923966716459, -0.20102829765829064, -0.15372284934563527, -0.16545016420858247, -0.14592659713999143, -0.15315847415906492, -0.1913299820615488, -0.18563582884328428, -0.199338388735578, -0.17797177141057355, -0.18192882419493003, -0.19822685699124326, -0.17612190968171315]",0
"[0.3987818497255029, 0.40975691145381327, 0.4308358814788768, 0.4352309676140892, 0.442345807756139, 0.4041215912855953, 0.4138416298891035, 0.4017259101491979, 0.4262025923784939, 0.40089633278580533, 0.4217225529088825, 0.3703740466009422, 0.4042060760267315, 0.4121308569902354, 0.4127609942010731, 0.3293175148717856, 0.32205552949487837, 0.2765821920612311, 0.22372608296251234, 0.21640664490079148, 0.17027297700293206, 0.09498277983289341, 0.0668275722069575, 0.024317938368088238, -0.03695268823680169, -0.05240428071467347, -0.10871927930552533, -0.1469270390581478, -0.15406632091652686, -0.26145488148384244, -0.2647456954000791, -0.3057694531435594, -0.3485653874212417, -0.3862061446155263, -0.3322545207773064, -0.34024641255779825, -0.37385328077667124, -0.3139054926549026, -0.3366809644691648, -0.3701679098509656, -0.3553642369542851, -0.38845640237005297, -0.3326040094583786, -0.32804766405431607, -0.3609627585677525, -0.36721439636073944, -0.3325382664939051, -0.3566734555462664, -0.35738282328132776, -0.3489442734424271, -0.38719612144898324]",0
"[0.2962156993003095, 0.2883631618825177, 0.20972598709151027, 0.20636819550349056, 0.2629293786158627, 0.2592476137451761, 0.25399645859002706, 0.2875109572869264, 0.2132297418918434, 0.2882760025591716, 0.2706803165928694, 0.25194566054977613, 0.28019060060031287, 0.27329990909794816, 0.26526240152012837, 0.24860921407572453, 0.25426962582931206, 0.27482763374409325, 0.24713181724668926, 0.1673410851488441, 0.07482413980330968, 0.004184504161718963, -0.08621109492917202, -0.11351400114119428, -0.1970443615447425, -0.3075751935677383, -0.35100922241358706, -0.46298977908720146, -0.5859466003838429, -0.650635490987078, -0.7440847701204073, -0.7470464253722728, -0.7111995933232186, -0.7093051843062123, -0.7024718851227396, -0.7196523838194758, -0.6262124453574068, -0.7035076275304071, -0.7136213905428775, -0.6850822305611818, -0.7082724568447735, -0.7281862057066352, -0.7260764658978636, -0.6795798515702213, -0.7623679009546134, -0.6782714502167696, -0.716980601058337, -0.7139928391135869, -0.6796902278725083, -0.7078415947866576, -0.7352839456989615]",0
"[0.12506280540784187, 0.13197487550344375, 0.1280458393034855, 0.14819598570875026, 0.13266249537841157, 0.13160422971407196, 0.10558897927230548, 0.1408964516330639, 0.15648556043275832, 0.12729233466548662, 0.14426737159137007, 0.09870774376859509, 0.14998379520061847, 0.15285203214805904, 0.12606982206014192, 0.13180386809253258, 0.11646169011639212, 0.075746056771804, 0.06329253676242419, 0.09453712494123384, 0.04367620695461311, 0.06278678753424997, 0.06077444643807974, 0.08823393738499005, 0.0746590263517794, -0.021082784494433085, 0.014229206311847062, 0.022029670259851676, -0.02295733451714344, -0.006157191861836536, 0.0021046644821426687, -0.002124142099651358, -0.005245687230507113, 0.029823223103978943, -0.024458575920023054, -0.009860496737165592, -0.015975183078035277, -0.021282008389062, -0.0012044018813055718, 0.039537718358367197, -0.021586433690993757, 0.02179485242976128, 0.01248942343233916, 0.0024151364950534384, -0.0019618939615878976, -0.019264119480184375, 0.007438808173568275, -0.006970910427171758, -0.028473529373357145, 0.010235861503549097, 0.01611119003884128]",0
